text,label,type,language,tactic
"Dear User, Your mailbox quota utilization has exceeded 85%. You may not be able to receive all new emails. Please be advised to download and delete your emails to avoid this. You can now increase your mail service quota storage and/or number of accounts(s). Just visit  monkey.org NOW       to upgrade your accounts automatically or contact us on 101. Thank you for using monkey.org email service. monkey.org",1,nazario_real_phishing,en,
"To ensure delivery to your inbox, please add USAA.Web.Services@customermail.usaa.com to your address book.	        	         	      Account Activity Security Update   View Accounts | Privacy Promise | Contact Us 	           	    	     	  	      USAA SECURITY ZONE  Account Update  USAA #  	                              Dear Customer, We're so sorry to inform you that your USAA account has temporarily been suspended due to incomplete/missing Information on your USAA account. We have a firm reason to believe there might have been a security breach related to it. For your security, We've posted a new security safeguard for you on usaa.com. To protect you and your financial information, It is now mandatory that you sign in to your account with in 48 hours to update and confirm your personal information so you can enjoy the usage of your USAA account and to avoid your account restricted.   Please use the sign in button below to sign in to your account and update your information. Also keep your e-mail address updated so you can continue to receive notification of new messages from USAA.      	 Sign On   We value your business and the opportunity to serve all your financial needs. Thank you, USAA 	         	  	     	  	 	        Privacy Promise Please do not reply to this e-mail. To contact USAA, visit our secure contact page. 9800 Fredericksburg Road, San Antonio, TX 78288-9876       	        To ensure delivery to your inbox, please add USAA.Web.Services@customermail.usaa.com to your address book. Account Activity Security Update View Accounts | Privacy Promise | Contact Us USAA SECURITY ZONE AccountUpdate USAA #      Dear Customer,We're so sorry to inform you that your USAA account has temporarily been suspended due to incomplete/missing Information on your USAA account. We have a firm reason to believe there might have been a security breach related to it. For your security, We've posted a new security safeguard for you on usaa.com. To protect you and your financial information, It is now mandatory that you sign in to your account with in 48 hours to update and confirm your personal information so you can enjoy the usage of your USAA account and to avoid your account restricted. Please use the sign in button below to sign in to your account and update your information. Also keep your e-mail address updated so you can continue to receive notification of new messages from USAA. Sign On  We value your business and the opportunity to serve all your financial needs.Thank you,USAA        Privacy PromisePlease do not reply to this e-mail. To contact USAA, visit our secure contact page.9800 Fredericksburg Road, San Antonio, TX 78288-9876",1,nazario_real_phishing,en,
"here is leigh pearce . i wite you because we are accepting your mortgage application .
our office confirms you can get a $ 220 . 000 lo?n for a $ 352 . 00 per month payment .
approval process will take 1 minute , so please fill out the form on our website :
thank you .
best regards leigh pearce
first account manager",0,enron_ham,en,
"Dear Member,  Due to numerous unauthorized transactions on your card account, your account has been  frozen. We could not verify your recent card activities. Navy Federal Credit Union requires  your immediate response about this before we are forced to take legal actions. Kindly verify your  information with us by accessing your account below.     You will be asked some questions that you registered with us to help us better verify you. Thank youNavyFederal Online Team.    Dear Member,  Due to numerous unauthorized transactions on your card account, your account has been  frozen. We could not verify your recent card activities. Navy Federal Credit Union requires  your immediate response about this before we are forced to take legal actions. Kindly verify your  information with us by accessing your account below.     You will be asked some questions that you registered with us to help us better verify you. Thank youNavyFederal Online Team.",1,nazario_real_phishing,en,
"20 minutes is all it takes
more info here . . .
dart lj bremsstrahlung yc regretful sy luminary vw
coloratura ymz perfect fnj drag dho deconvolve nft
fief tik weigh vm cognition yr adjutant ss prodigy xl lurid tu
no
",0,enron_ham,en,
jose@monkey.org E-mail Sync Failure.  E-mail Sync for your E-mailbox has failed and you have [9] pending messages on the mail queue.  Follow the steps below to download pending emails and  continue to receive emails on your jose@monkey.org account.    Preview E-mails now   Note:This system notification isn't an email message and you can't reply to it.. 2019   Email Admin.   jose@monkey.org E-mail Sync Failure. E-mail Sync for your E-mailbox has failed and you have [9] pending messages on the mail queue. Follow the steps below to download pending emails and  continue to receive emails on your jose@monkey.org account. Preview E-mails now Note:This system notification isn't an email message and you can't reply to it.. 2019  © Email Admin.,1,nazario_real_phishing,en,
"from : eric / julieth kamara
attn : sir .
confidential
dear sir ,
i am eric kamara the only son of late former
director of finance , chief vincent r . kamara
sierra - leone diamond and mining corporation .
i must confess my agitation is real , and my words is
my bond , in this proposal . my late father
diverted this fund acquired from the over
influencing of price of sales / purchasing of raw
materials . , now he has
deposited the money with bank in abidjan by fixed
deposit form , and he attached a strict clause to the
fund in bracket ( pay as received ) , where i am
residing under political assylum with my younger
sister juliet , my younger sister who is 17
years old .
now the war in my country is over with the help of
ecomog soldiers , the present government of sierra
leone has revoked the passport of all officers who
served under the former regime and now ask countries
to expel such person at the same time freeze their
account and confiscate their asset , it is on this note
that i am contacting you , all i needed from you is to
furnish me with your bank particulars :
1 ) account name
2 ) account number
3 ) bank address , telephone and fax number
for you to assist me transfer this money in your
private bank account , the said amount is ( twenty
seven million dollars ) $ 27 million .
i am compensating you with 12 % of the total money
amount , now all my hope is banked on you and i really
wants to invest this money in your country , were their
is stability of government , political and economic
welfare .
honestly i want you to believe that this transaction
is real and never a joke . my late father chief kamara
gave me the photocopies of the certificate of deposit
issued to me by bank in abidjan on the date of
deposit , and
he called me closer to his bed side before his call
to glory ( r . i . p ) that i should pray to god first ,
before contacting any foreginer and he warned me
stricly that i should avoid afican men with their
greedy and evil mind since this is the only legacy we
are inheriting from him . sir , this is for
you to be clarified because , i do not expose my self
to
anybody i see , i believe that you are able to keep
this transaction secret for me because this money is
the hope of my life , it is important .
please call me immediately after you must have gone
through my message fill free and make it urgent . that
is the reason why i offered you 12 % of the total
money amount , and in case of any other necessary
expenses you might incure during this transaction
inluding your telephone calls .
n . b try and negotiate for me some profitable blue chip
investment opportunities which is risky free which i
can invest with this money when it is transferred to
your account and you will be our guiardian , personally
i am interested in estate
management and hotel business , please advise me .
call me back immediately you receive this message for
more explanation . and promisse me and julieth my
younger sister to be a father considering our
situation
and not to betray us .
thanks and god bless
best regards
eric / julieth kamara
nb : my late father used me the only son as the
beneficiary / next of kin on the day of deposit and
also told me i need a foreign assistance of a
foreigner with a legitimate bank account abroad who
will stand as co - beneficiary and partner abroad .",0,enron_ham,en,
"Dear, To improve service and convenience for users. More Information Open or download the file (PDF) Dear,To improve service and convenience for users.More Information Open or download the file (PDF)",1,nazario_real_phishing,en,
"TESLA_Welcome Email              We've change your password  Hello,   We just wanted to confirm that youâ€™ve changed your password. If you didnâ€™t make this change. please check information in here  Itâ€™s important that you let us know because it helps us prevent unauthorised persons from accessing the PayPal network and your account information.  We've noticed some changes to your usual selling activities and will need some more information about your recent sales..         Confirm Your email      Tips to help protect your password:    Never share your password with anyone. Create passwords that are hard to guess and donâ€™t use personal information. Be sure to include uppercase and lowercase letters, numbers, and symbols. Use different passwords for each of your online accounts.  Sincerely,   PayPal         Please do not reply to this email. To get in touch, go to the PayPal website and click Help.     Copyright Â© 1999-2016 PayPal. All rights reserved.  PayPal (Europe) S.Ã  r.l. et Cie, S.C.A. SociÃ©tÃ© en Commandite par Actions Registered Office: 22-24 Boulevard Royal L-2449, Luxembourg RCS Luxembourg B 118 349  PayPal PPC000478:e7baae5a310d5 We've change your password Hello, jose@monkey.org We just wanted to confirm that youâ€™ve changed your password. If you didnâ€™t make this change. please check information in here Itâ€™s important that you let us know because it helps us prevent unauthorised persons from accessing the PayPal network and your account information. We've noticed some changes to your usual selling activities and will need some more information about your recent sales.. Confirm Your email Tips to help protect your password: Never share your password with anyone.Create passwords that are hard to guess and donâ€™t use personal information. Be sure to include uppercase and lowercase letters, numbers, and symbols.Use different passwords for each of your online accounts. Sincerely,  PayPal                                 Please do not reply to this email. To get in touch, go to the PayPal website and click Help. Copyright Â© 1999-2016 PayPal. All rights reserved. PayPal (Europe) S.Ã  r.l. et Cie, S.C.A. SociÃ©tÃ© en Commandite par Actions Registered Office: 22-24 Boulevard Royal L-2449, Luxembourg RCS Luxembourg B 118 349 PayPal PPC000478:e7baae5a310d5",1,nazario_real_phishing,en,
"Dear jose,  Thank you, we received your Email account de-activation request and this request will be processed before 24 hrs.If this request was made accidentally and you have no knowledge of it, you are advised to cancel the request now                     CANCEL DE-ACTIVATION . However, if you do not cancel this request,your account will be shutdown shortly, and all your email data will be lost permanently. Thanks. Email Adminstrator 2018 Team. powered by: Google+",1,nazario_real_phishing,en,
