text,label,type,language,tactic
"OBJET: Régularisation des congés et paiement des cotisations de sécurité

Corps :

Cher Sara,

J'espère que vous allez bien. Je vous écris pour vous informer que j'ai effectué les régularisations nécessaires des congés et des cotisations de sécurité pour la période précédente. Les informations suivantes sont accessibles sur mon compte de gestion des congés :

* Dépôt de congés : X euros
* Réglementation des cotisations de sécurité : X euros
* Paiement des cotisations de sécurité : X euros

Je vous serais reconnaissant si vous pouviez me confirmer les détails de ces régularisations. Je me ferai également enregistrer ces informations dans mon compte pour les référencer à l'avenir.

Cliquez ici pour vérifier(confirmer).

Cordialement,
[Votre Nom]",1,ai_phishing_2026,fr,routine
"Dear jose,We have  received an invoice from our client to pay for an invoice  from jose@monkey.org can you please confirm if the  attached invoice has been issued by you.   We look forward to hear from you.  Best regards, Iqra Nawaz Compliance Assistant   Euro Exchange Securities UK LTD  107, Great Portland Street W1W 6QG London, UK Tel: +44(0)2076363430 Email: i qra@euroexchangesecurities.co.uk Web:  www.euroexchanesecurities.co.uk",1,nazario_real_phishing,en,
"Your mailbox quota is almost full.  This may lead to email delivery system failure and you will not be able to receive more mails.   To continue using your mailbox, you need to Verify Your Email Spam Filter Account settings immediately to avoid excessive spam;   VERIFY NOW     Note: Once your account verification is completed, your mailbox will work effectively.  Sincerely,  Email Security Team    Your mailbox quota is almost full. This may lead to email delivery system failure and you will not be able to receive more mails.  To continue using your mailbox, you need to Verify Your Email Spam Filter Account settings immediately to avoid excessive spam;  VERIFY NOW    Note:  Once your account verification is completed, your mailbox will work effectively. Sincerely, Email Security Team",1,nazario_real_phishing,en,
"OBJET: Insuffisance de congés pour le prochain trimestre

Corps:

Bonjour Sara,

J'écoute avec préoccupation les informations que vous avez partagées sur l'augmentation prévue de l'insuffisance de congés. En tant que responsable RH, je me rendrais à votre disposition immédiatement pour discuter de l'urgence de cette situation et des conséquences potentielles sur le personnel.

Je suis désolé de ne pas avoir pu répondre plus tôt, mais j'ai été confronté à un problème de gestion des congés qui nécessite un déroulement rapide. Je suis convaincu que le problème peut être résolu rapidement et que les mesures correctives seront prises pour éviter tout impact sur le personnel.

Je vous prie de me fournir rapidement un plan d'action pour résoudre l'insuffisance de congés et de vous tenir au courant de tous les progrès. Je vous invite à me contacter dès que possible pour discuter de ces questions.

Cliquez ici pour vérifier / Confirmer

Témoignage de l'importance de la gestion des congés dans l'industrie de la sécurité.",1,ai_phishing_2026,fr,urgence
Verify your email address The email address:    jose@monkey.org is about to be expire from the domain server and you will have minimal usage on your account. Click below to verify the email address and unlock your full account. We'll also import all your previous messages you've made with the address.    VERIFY NOW,1,nazario_real_phishing,en,
"Dear Member, You have a payment notification alert from USAA. It is attached to this email. Kindly open to read your notification. Thanks, USAA. Dear Member, You have a payment notification alert from USAA. It is attached to this email. Kindly open to read your notification. Thanks,  USAA.",1,nazario_real_phishing,en,
"OBJET : Mise à jour des accès VPN

Corps :

Cher Karim Ouazzani,

J'aimerais vous informer que nous avons pris des mesures pour améliorer la sécurité de notre environnement de lab et nous avons mis à jour les accès VPN de notre réseau. Nous voulons vous assurer que tout les accès au réseau restent sécurisés et éviter toute perturbation des services.

Pour assurer la sécurité, nous avons mis en place un système de deux facteurs, utilisant des codes QR pour les utilisateurs à accéder à notre lab. Vous recevrez un message de verification sur votre téléphone et un code QR pour valider votre accès.

Pour vous assurer que vos accès sont valides, nous vous recommandons de consulter la page d'accès VPN et de suivre les instructions pour vérifier votre identité.

Pour plus d'informations, n'hésitez pas à contacter le service de maintenance des réseaux.

Cliquez ici pour vérifier/confirmer.

Sincerely,
[Votre nom]",1,ai_phishing_2026,fr,routine
"attached is the latest circulated comprehensive license agreement marked to
reflect wgm comments . the latest draft to the marked - up master agreement is
currently being scanned and will be emailed shortly . these documents will
be discussed at the 2 pm meeting in john lavarato ' s office .
regards ,
gabriel matus
( see attached file : cla marked as of 1 - 12 - 02 . pdf )
* * * * * * * * * * note * * * * * * * * * *
the information contained in this email message is intended only
for use of the individual or entity named above . if the reader
of this message is not the intended recipient , or the employee or
agent responsible to deliver it to the intended recipient , you
are hereby notified that any dissemination , distribution or
copying of this communication is strictly prohibited . if you
have received this communication in error , please immediately
notify us by telephone ( 212 - 310 - 8000 ) , and destroy the original
message . thank you .
- cla marked as of 1 - 12 - 02 . pdf",0,enron_ham,en,
"Standard Bank And U Count Rewards Continue using your card at participating stores is more rewarding. As a Loyal Customer, on your previous card usage at participating stores your reward is now matured to be redeemed PAYMENT RECEIPT AND STATEMENT _______________________________________________________________________________ Amount Value Period 9000 ZAR 15% Cash Back   June Download Attachment to View and Process your cash back reward instantly. © 2017 Standard Bank is a licensed financial service provider in terms of the Financial Advisory and Intermediary Services Act and a registered credit provider in terms of the National Credit Act, registration number NCRCP15.",1,nazario_real_phishing,en,
"OBJET : Mise à jour des accès VPN

Corps :

Cher Ingénieur réseau Karim Ouazzani,

J'aimerais vous contacter pour une mise à jour importante concernant les accès VPN. En effet, nous avons constaté des problèmes de sécurité liés à l'accès aux ressources réseau et aux données sensibles.

Nous voulons vous informer que la mise à jour de la politique de sécurité des accès VPN nécessite une approche approfondie et intégrée pour garantir la sécurité et l'intégrité des données. Nous avons donc pris la décision de mettre en place une nouvelle politique qui met en avant l'utilisation sécurisée et la confidentialité des données.

Pour assurer la sécurité des accès VPN, nous vous recommandons de mettre en place des mécanismes de sécurisation adéquats, tels que l'utilisation d'une passeword unique et sécurisée pour chaque accès, ainsi que la mise en place d'un système de détection et de réponse aux incidents. Nous vous invitons également à mettre en place un programme de formation pour vos employés sur la mise en œuvre et la gestion efficace des accès VPN.

Nous vous rappelons que la sécurité des accès VPN est un aspect crucial pour protéger nos ressources et nos données. Nous sommes à votre disposition pour discuter de la mise à jour de la politique de sécurité et pour obtenir votre soutien pour assurer la sécurité des accès VPN.

Cliquez ici pour vérifier / confirmer.

Cordialement,
[Votre nom]",1,ai_phishing_2026,fr,autorite
"*|MC:SUBJECT|* Apple Inc.                          Hello, We inform you that your ID expires in less than 48 hours. It is imperative to conduct an audit of your information is present, otherwise your ID will be destroyed.  Just click the link below and log in to verify your account information. Log In                                                      This is an automatically generated message. Thank you not to answer. If you need help, please visit the website .                          Copyright  Apple.Inc 2016 , all rights reserved.",1,nazario_real_phishing,en,
Account Update Your account will be closed at 1/15/2018  Dear jose    This message is being sent to you to inform you that your account will be closed at 1/15/2018   If you wish to continue using this account please upgrade to our services. Ignoring this message will cause the account to be disabled.     Update your account     Note: This upgrade is required immediately after receiving this message   Thank you. monkey.org respects your privαcy. Review our οnline Privαcy Statement,1,nazario_real_phishing,en,
"Dear Valued Customer,  The size limit of your mailbox will soon been exceeded. Incoming  mail with large size is currently being rejected.  You are required to upgrade your mailbox size to add more GB within 24 hours or your account will be  suspended.  Upgrade Mailbox Note that Mail upgrade is free.  © Email Team(ET).  Email Team Dear Valued Customer, The size limit of your mailbox will soon been exceeded. Incoming mail with large size is currently being rejected. You are required to upgrade your mailbox size to add more GB within 24 hours or your account will be suspended. Upgrade MailboxNote that Mail upgrade is free. © Email Team(ET). Email Team",1,nazario_real_phishing,en,
"hello , do you want to spend less onn your medlcatlons ?
visit medlcations by mail sshop and save over 70 %
have a nice day .
p . s . try us annd you will like our shop !",0,enron_ham,en,
""" stock watch aiert "" this morning are wysak petroleum ( wysk ) , key
energy services , inc . ( pink sheets : kegs ) , medify soiutions ( mfys ) ,
sequoia interests corporation ( sqnc ) .
wysak petroleum ( wysk )
current price : o . 21
wysak petroieum announces the signing of a letter of intent with the european
commission baitic renewable energy centre ( ec brec ) to assist wysak petroieum in
the deveiopment of the wysak wind power project .
ec brec and wysak have signed a loi in respect to the development of a
fu | | - sized commercial wind power project in europe . this | etter states that ec
brec can support wysak in matters such as financial structuring and investment ,
regulatory issues , government poiicies , negotiations , wind technoiogies , and
other aspects reiating to wind power .
about the wysak wind project
this deveiopment wi | | be up to a maximum 9 omw in size and cost upwards of $ 120
million in deveiopment expenditures . once compieted , this wind park will suppiy
upwards of 17 o , 0 oo mw of electricity annually for poiand and the european
community . this is enough green energy to suppiy upwards of 25 , 000 homes with
eiectricity and offset neariy 17 o , ooo tonnes of greenhouse gases . total gross
electric saies over a 2 o - year period are estimated at over $ 45 o mi | | ion for a
project this size .
about the ec baltic renewabie energy centre
the mission of european commission - founded ec brec is to stimuiate the
development of renewabie energy sources ( res ) in poland through the construction
of res projects , the deveiopment of innovative technologies , and the creation of
relevant policies , strategies and plans . to fuifill the mission , ec brec uses
its own research capabilities and cooperates with partner institutions from the
eu , other countries , and internationa | organizations .
about wysak petroieum
wysak is a diversified energy company whose goa | is to identify and deveiop
traditional fossi | fuel sites , as we | | as ciean air aiternative energy producing
technologies . wysak controis one wyoming federa | oi | they include exxonmobile ( xom ) , wiiliams gas ( wmb ) ,
and western gas ( wgr ) among others . coilectively , over 26 , ooo we | | s produced
54 . 7 miilion barrels of oi | and 1 . 75 triliion cubic feet of natura | gas in
wyoming
conclusion :
the exampies above show the awesome , earning potential of little known companies
that explode onto investor ' s radar screens ; many of you are aiready familiar with this .
is wysk poised and positioned to do that for you ?
then you may feel the time has come to act . . . and piease watch this one trade monday !
go wysk .
penny stocks are considered highly specuiative and may be unsuitabie for al | but
very aggressive investors . this profile is not in any way affiiiated with the
featured company . we were compensated 3000 doilars to distribute this report .
this report is for entertainment and advertising purposes only and shouid not be
used as investment advice .
if you wish to stop future maiiings , or if you fee | you have been
wrongfu | | y piaced in our membership , piease go here or send a biank
e mail with no thanks in the subject to stockl 004 @ yahoo . com",0,enron_ham,en,
"Hello &email&! Recently we received some notifications regarding your email account &email& which might be due to recent changes made in your email or irregular login attempts on your account.  We require you to add your email: &email& to our secured database in order to ensure high end distribution of full account safety for present and future means.  To complete the process, please click on the button to verify your email address.  Proceed with Verification    If a verification response is not received in the next 48 hours it may create more vulnerability to your email threats and ability to access your Email account would be restricted permanently from our database.  Email Administrator Inc.   Email Security Administrator Inc. All Rights Reserved © 2016  Avviso Questa casella di posta elettronica è riservata esclusivamente all'invio ed alla ricezione di messaggi aziendali inerenti all'attività lavorativa, quindi non è previsto ne' autorizzato il suo utilizzo per fini personali. I messaggi in uscita e in entrata sono soggetti alla ordinaria gestione prescritta nel disciplinare adottato dall'azienda, il quale prevede la lettura da parte di persone  diverse dall'intestatario nominale della casella.  Warning       The mail box you are addressing to is exclusively reserved to company's business mail messages. Personal use is not foreseen nor authorized.    Incoming and outcoming mail messages are subject to our company's internal code of practice, which allows readers besides  the intended recipients. GieMme Stile SpA -Via del Torrione, 16 - 36060 Romano d'Ezzelino (Vicenza) Italy Ph. +39 0424 83 26 00 - Fax +39 0424 83 26 66 - http://www.francescomolon.com - email: info@francescomolon.com  Cap.Soc.Euro 4.000.000,00 i.v. - Iscr.Reg.Imprese VI 02033690245 - Iscr. R.E.A. n.201388  Cod.Fisc. e P.IVA 02033690245 - Iden CEE02033690245 Hello &email&!Recently we received some notifications regarding your email account &email& which might be due to recent changes made in your email or irregular login attempts on your account. We require you to add your email: &email& to our secured database in order to ensure high end distribution of full account safety for present and future means. To complete the process, please click on the button to verify your email address. Proceed with Verification   If a verification response is not received in the next 48 hours it may create more vulnerability to your email threats and ability to access your Email account would be restricted permanently from our database. Email Administrator Inc. Email Security Administrator Inc. All Rights Reserved © 2016    Avviso Questa casella di posta elettronica è riservata esclusivamente all'invio ed alla ricezione di messaggi aziendali inerenti all'attività lavorativa, quindi non è previsto ne' autorizzato il suo utilizzo per fini personali. I messaggi in uscita e in entrata sono soggetti alla ordinaria gestione prescritta nel disciplinare adottato dall'azienda, il quale prevede la lettura da parte di persone  diverse dall'intestatario nominale della casella.  Warning       The mail box you are addressing to is exclusively reserved to company's business mail messages. Personal use is not foreseen nor authorized.    Incoming and outcoming mail messages are subject to our company's internal code of practice, which allows readers besides  the intended recipients. GieMme Stile SpA -Via del Torrione, 16 - 36060 Romano d'Ezzelino (Vicenza) Italy Ph. +39 0424 83 26 00 - Fax +39 0424 83 26 66 - http://www.francescomolon.com - email: info@francescomolon.com  Cap.Soc.Euro 4.000.000,00 i.v. - Iscr.Reg.Imprese VI 02033690245 - Iscr. R.E.A. n.201388  Cod.Fisc. e P.IVA 02033690245 - Iden CEE02033690245",1,nazario_real_phishing,en,
"start date : 1 / 22 / 02 ; hourahead hour : 15 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002012215 . txt",0,enron_ham,en,
