"subject","body"
"Confirmation de vos dates de congés","Bonjour Sara,

Je vous confirme que vos congés du 14 au 21 juillet ont bien été validés dans le système. N'hésitez pas à organiser la passation avec votre équipe avant votre départ.

Bonnes vacances à venir.

Cordialement,
Service RH"
"Compte-rendu réunion d'équipe du lundi","Bonjour à tous,

Voici le compte-rendu de notre réunion hebdomadaire : avancement du sprint en cours à 70%, migration serveur prévue pour vendredi, et point sur les tickets prioritaires en fin de mois.

Le prochain point est fixé à lundi prochain, même heure.

Bonne semaine,
Youssef"
"Rappel : clôture comptable du mois","Bonjour,

Petit rappel amical : la clôture comptable du mois est prévue pour le 28. Merci de transmettre vos notes de frais et justificatifs avant cette date pour éviter tout retard de traitement.

Merci de votre compréhension.

Amine, Comptabilité"
"Organisation du déplacement à Rabat","Bonjour,

Je reviens vers vous concernant le déplacement à Rabat prévu la semaine prochaine. L'hôtel est réservé et les billets de train ont été envoyés sur votre messagerie professionnelle.

N'hésitez pas si vous avez des questions logistiques.

Bien à vous,
Nadia"
"Maintenance réseau planifiée ce week-end","Bonjour à tous,

Une maintenance du réseau interne est prévue samedi de 8h à 12h. Les accès VPN et la messagerie pourraient être temporairement indisponibles durant cette fenêtre.

Merci de votre compréhension.

Karim, Service IT"
"Calendrier éditorial du mois prochain","Bonjour,

Je vous partage le calendrier éditorial validé pour le mois prochain. Les publications sont réparties entre les réseaux sociaux et la newsletter, avec un focus sur le lancement produit en milieu de mois.

Vos retours sont les bienvenus avant vendredi.

Cordialement,
Leila"
"Accusé de réception de la commande fournisseur","Bonjour,

Nous confirmons la bonne réception de la commande n°4521 passée auprès de notre fournisseur habituel. La livraison est prévue sous 10 jours ouvrés, conformément au bon de commande signé.

Cordialement,
Hicham, Service Achats"
"Échéance de renouvellement du contrat prestataire","Bonjour,

Je me permets de vous rappeler que le contrat avec notre prestataire de maintenance arrive à échéance dans deux mois. Merci de me faire savoir si vous souhaitez le renouveler ou ouvrir une nouvelle consultation.

Bien cordialement,
Fatima Zahra, Service Juridique"
"Point d'avancement projet migration","Bonjour,

La migration des données vers le nouveau serveur avance comme prévu. Nous sommes actuellement à 60% du transfert, sans incident majeur à signaler. Fin des opérations estimée à jeudi.

Je vous tiens informés.

Youssef"
"Invitation au pot de départ de Karim","Bonjour à tous,

Comme beaucoup le savent déjà, Karim nous quitte à la fin du mois pour de nouveaux projets. Nous organisons un petit pot vendredi à 17h en salle de pause pour le remercier de ces belles années.

Au plaisir de vous y voir nombreux,
Nadia"
"Mise à jour de la politique de télétravail","Bonjour à tous,

Suite à la réunion de direction de la semaine dernière, la politique de télétravail a été légèrement ajustée : deux jours par semaine restent possibles, à convenir avec votre manager direct.

Le document complet est disponible sur l'intranet.

Service RH"
"Retour sur le salon professionnel de la semaine dernière","Bonjour,

Merci à tous ceux qui ont tenu le stand lors du salon. Nous avons collecté une soixantaine de contacts qualifiés, à répartir entre les commerciaux dans les prochains jours.

Bravo pour votre implication.

Leila"
"Rappel : formation sécurité obligatoire","Bonjour,

Petit rappel que la formation annuelle sur la sécurité des locaux se tient jeudi à 10h en salle B. La présence est obligatoire pour l'ensemble du personnel administratif.

Merci de vous inscrire sur le calendrier partagé.

Service RH"
"Validation du budget prévisionnel Q3","Bonjour,

Le budget prévisionnel du troisième trimestre a été validé par la direction financière. Vous trouverez le détail par poste dans le tableau partagé habituel.

Merci de me faire remonter vos ajustements avant la fin du mois.

Amine"
"Nouvelle procédure de demande de congés","Bonjour à tous,

À partir du mois prochain, les demandes de congés se feront exclusivement via le portail RH en ligne, et non plus par email. Une session de présentation sera organisée mardi prochain.

Merci de votre compréhension.

Sara"
"Compte-rendu de l'entretien fournisseur","Bonjour,

Suite à notre échange avec le fournisseur ce matin, nous avons obtenu une remise de 5% sur le prochain lot de commandes en échange d'un engagement annuel. Je vous transmets le récapitulatif écrit cet après-midi.

Hicham"
"Fermeture exceptionnelle des bureaux le 15","Bonjour à tous,

Les bureaux seront exceptionnellement fermés le 15 pour cause de travaux électriques. Le télétravail est encouragé ce jour-là si votre poste le permet.

Merci de votre compréhension.

Direction Générale"
"Suivi de la certification qualité","Bonjour,

L'audit de renouvellement de notre certification ISO 9001 est prévu le mois prochain. Merci de vérifier que vos procédures documentées sont à jour d'ici là.

Je reste disponible pour toute question.

Salma, Service Qualité"
"Retard de livraison signalé","Bonjour,

Nous avons été informés d'un léger retard de livraison concernant la commande en cours, désormais attendue mardi prochain au lieu de vendredi. Le fournisseur nous a présenté ses excuses.

Je vous tiens informés de toute évolution.

Imane, Logistique"
"Rappel amical : mise à jour de vos coordonnées","Bonjour à tous,

Si vous avez changé d'adresse ou de numéro de téléphone récemment, merci de mettre à jour vos coordonnées dans l'annuaire interne avant la fin du mois.

Merci de votre coopération.

Service RH"
"Signature du nouveau bail commercial","Bonjour,

Le bail commercial pour l'extension des locaux a été signé ce matin par la direction. L'emménagement dans les nouveaux espaces est prévu pour la rentrée prochaine.

Plus de détails suivront dans les prochaines semaines.

Fatima Zahra"
"Feedback client sur la dernière livraison","Bonjour,

Le client nous a fait un retour très positif sur la dernière livraison, notamment sur les délais respectés et la qualité de l'emballage. À transmettre à toute l'équipe logistique.

Bravo à tous,
Imane"
"Préparation du comité de direction mensuel","Bonjour,

Le comité de direction se tiendra jeudi à 9h. Merci de me faire parvenir vos points à l'ordre du jour avant mardi soir afin que je puisse préparer le support de présentation.

Merci d'avance,
Nadia"
"Nouveau prestataire de nettoyage des locaux","Bonjour à tous,

À partir du mois prochain, un nouveau prestataire prendra en charge le nettoyage des bureaux. Le planning des passages reste inchangé, du lundi au vendredi en fin de journée.

Service Généraux"
"Résultats de l'enquête de satisfaction interne","Bonjour à tous,

Merci aux nombreux collègues ayant répondu à l'enquête de satisfaction. Le taux de participation atteint 78%, et les résultats détaillés seront partagés lors de la prochaine réunion générale.

Service RH"
"Mise à jour du logiciel de gestion interne","Bonjour,

Une mise à jour du logiciel de gestion sera déployée ce week-end. Aucune action de votre part n'est nécessaire, la connexion se fera automatiquement avec la nouvelle version lundi matin.

Service IT"
"Bilan de la campagne marketing du trimestre","Bonjour,

La dernière campagne a généré une hausse de 12% du trafic sur notre site, avec un bon taux de conversion sur les nouveaux prospects. Le détail chiffré est disponible dans le rapport partagé.

Leila"
