"text","true_label"
"Your package could not be delivered due to an incomplete address. Please confirm your delivery details within 24 hours or your parcel will be returned to sender. Click here to update your address.","1"
"We detected unusual sign-in activity on your account from a new device. If this wasn't you, secure your account immediately by verifying your identity at the link below.","1"
"Votre facture n. 8823 est en attente de paiement depuis 15 jours. Un retard supplementaire entrainera la suspension de vos services. Reglez votre facture des maintenant en cliquant ici.","1"
"Congratulations! You have been selected to receive a $500 gift card. Claim your reward now before this offer expires tonight.","1"
"Your computer has been flagged for a security risk. Call our support line immediately or download the attached tool to remove the threat.","1"
"Votre compte a ete signale pour activite suspecte. Pour eviter la suspension definitive, veuillez confirmer votre identite en cliquant sur le lien ci-dessous dans les 24 heures.","1"
"Your subscription will automatically renew for $89.99 tomorrow. If you did not authorize this charge, cancel immediately by verifying your billing information here.","1"
"Your mailbox has exceeded its storage limit and new messages will be rejected. Increase your storage now by confirming your account below.","1"
"Vous etes eligible a un remboursement de 214,50 euros suite a un recalcul de votre declaration. Completez le formulaire ci-joint pour recevoir votre remboursement sous 48h.","1"
"Due to a system update, all employees must re-enter their direct deposit information by end of day or paychecks may be delayed.","1"
"A document requires your signature. Please review and sign the attached agreement within 48 hours to avoid contract cancellation.","1"
"Un probleme est survenu lors de la livraison de votre colis. Des frais de douane de 2,99 euros sont requis pour finaliser la livraison. Payez maintenant pour eviter le retour du colis.","1"
"I need you to process an urgent wire transfer before the board call at 3pm. I'm currently unavailable by phone, reply here and I'll send the account details.","1"
"Your password expires today. To keep uninterrupted access to your account, reset your password immediately using the secure link provided.","1"
"Vous avez ete selectionne pour un investissement exclusif a rendement garanti de 40%. Places limitees, inscrivez-vous avant ce soir pour ne pas perdre votre place.","1"
"Hi team, just a reminder that our weekly sync moved to 10am tomorrow instead of the usual 9am. See you all then.","0"
"Thank you for your order #48213. Your items have shipped and are expected to arrive within 3-5 business days. You can track your shipment using the link in your account.","0"
"Bonjour, je te confirme le rendez-vous de jeudi a 14h en salle B. N'hesite pas si tu as besoin de deplacer le creneau.","0"
"This month's engineering newsletter covers our Q3 roadmap, two new hires on the platform team, and a recap of last week's internal hackathon.","0"
"L'entretien annuel d'evaluation se deroulera la semaine du 12. Merci de completer votre auto-evaluation dans l'outil RH avant le 8.","0"
"Scheduled maintenance on the internal VPN will take place Saturday from 1am to 3am. No action is required on your part.","0"
"Attached are the notes from today's stand-up. Main blocker is the staging environment, ticket has been filed and assigned to the infra team.","0"
"Merci pour ta presentation de ce matin, c'etait tres clair. Peux-tu m'envoyer les slides quand tu as un moment ?","0"
"Attached is invoice #INV-2044 for last month's consulting hours, as agreed in our contract. Let me know if you have any questions.","0"
"Un rappel amical : la cantine sera fermee vendredi pour travaux. Un service traiteur sera propose a la place.","0"
"We'd love your feedback on the new onboarding flow. It takes about 5 minutes - here's the link to the short survey whenever you have time.","0"
"Hey, are we still on for lunch on Friday? Let me know what time works, I'm flexible after 12.","0"
"Le sprint se termine vendredi, merci de mettre a jour vos tickets Jira d'ici demain soir pour la revue.","0"
"This is a reminder of your dentist appointment on Tuesday at 9:30am. Reply to this message if you need to reschedule.","0"
"Congratulations to the design team for shipping the new dashboard this week - great work from everyone involved.","0"
